incident nummer,Incident categorie,Beschrijving incident
1189154,3e lijns (Technische incidenten),CTXA20-02  nog steeds geen beschikbare printers
1189156,2e lijns (Doorgezette incidenten),MF nieuw geplaatst
1189157,Hardware / Werkplekbeheer,Spreekuur op tv schermen. AVsignage
1189159,1e lijns beheer (Helpdesk),Gebruiker kan niet printen
1189168,2e lijns (Doorgezette incidenten),WS Connect: Mevr. Ensink Haar man 05-11-34 B.B. Ensink
1189171,2e lijns (Doorgezette incidenten),Problemen met leestekens
1189192,Telefonie / Communicatie,Netwerk monteur moet bij patchkast
1189193,Functioneel beheer,test openen bijlagen Office 2010
1189195,3e lijns (Technische incidenten),applicatie alarmen GBS
1189199,Functioneel beheer,CS Controlekamer: Kan geen verrichtingscode invoeren
1189222,Functioneel beheer,Ultimo - aanmaken job vanuit eqm12 gaat niet goed
1189224,Hardware / Werkplekbeheer,Beeld beamer trilt/bibbert enorm
1189225,1e lijns beheer (Helpdesk),Gebruiker kan niet printen
1189226,2e lijns (Doorgezette incidenten),Geen rechten op SG_Data_Aut. aanvraag is gedaan door Annet Eggert
1189230,1e lijns beheer (Helpdesk),mobilInlog vraag
1189234,1e lijns beheer (Helpdesk),mail werkt niet
1189236,Functioneel beheer,CS Ziscon: Aanpassen inloggroep
1189237,2e lijns (Doorgezette incidenten),WS Connect Oude Nijewemer. TV beeld valt weg
1189238,Functioneel beheer, CS Document: Document verwijderen.
1189239,Hardware / Werkplekbeheer,MF: melding bij inloggen: meerdere gegevens ontbreken
1189241,2e lijns (Doorgezette incidenten),pas activeren
1189242,2e lijns (Doorgezette incidenten),xenapp A19-04 geen printers geinstalleerd
1189244,2e lijns (Doorgezette incidenten),token is op naam Sandra Dielemans en moet over naar Marion Lubbers pasnr 18357
1189245,2e lijns (Doorgezette incidenten),status mail
1189246,Hardware / Werkplekbeheer,flow meter heeft geen verbinding
1189247,2e lijns (Doorgezette incidenten),CS dv 5119
1189249,1e lijns beheer (Helpdesk),PC kan niet verbinden met de server
1189250,1e lijns beheer (Helpdesk),vraag over authorisatie
1189252,2e lijns (Doorgezette incidenten),QV10 systeem
1189253,Telefonie / Communicatie,toestel 5952
1189256,2e lijns (Doorgezette incidenten),wire solutions scherm vervangen
1189258,1e lijns beheer (Helpdesk),Inloggen op TC48052 gaat niet
1189263,Hardware / Werkplekbeheer,wire solutions scherm doet niet goed
1189268,1e lijns beheer (Helpdesk),wire solutions: Beeld doet niks
1189274,Hardware / Werkplekbeheer,wire solutions tv valt steeds uit
1189276,2e lijns (Doorgezette incidenten),Draadloze toetsenborden. Speciaal TV scherm bij de planningtafel.
1189277,3e lijns (Technische incidenten),VCD kan geen verbinding met onze servers krijgen.
1189278,3e lijns (Technische incidenten),verzoek: rechten pp40249 toekennen
1189280,3e lijns (Technische incidenten),bijscannen in kleur
1189281,2e lijns (Doorgezette incidenten),mf server is offline
1189284,2e lijns (Doorgezette incidenten),Outlook. Mailtje ontvangen maar is hem gelijk kwijt.
1189285,1e lijns beheer (Helpdesk),mfc probleem
1189287,2e lijns (Doorgezette incidenten),PACS archief traag benaderbaar
1189289,2e lijns (Doorgezette incidenten),iMotions koppeling video
1189293,1e lijns beheer (Helpdesk),Nieuw wachtwoord
1189294,2e lijns (Doorgezette incidenten),WS connect scherm vervangen
1189296,2e lijns (Doorgezette incidenten),J schijf Stafbureau data geen rechten.
1189297,2e lijns (Doorgezette incidenten),Verkenner en Outlook send on behalf
1189299,2e lijns (Doorgezette incidenten),Heeft geen icoontje in Word om WS handtekening in te kunnen vullen
1189301,Functioneel beheer,iPortal: links verneuwen in linklijst
1189303,2e lijns (Doorgezette incidenten),Windows ww gereset
1189304,2e lijns (Doorgezette incidenten),CS Document: Kan document niet printen op Ricoh
1189306,Functioneel beheer,CS Ziscon: Rechten zijn gewijzigd
1189308,2e lijns (Doorgezette incidenten),xenapp H13-01 geen beschikbare printers
1189310,Functioneel beheer,CS Ziscon: Kan niet inloggen.
1189314,2e lijns (Doorgezette incidenten),komt niets uit printer
1189316,Telefonie / Communicatie,verhuissing med.psych. vrijdag 8-1
1189318,Hardware / Werkplekbeheer,verhuissing OCON donderdag 7/1
1189322,Functioneel beheer,CS Document: Controlekamer-verslag verwijderen
1189324,2e lijns (Doorgezette incidenten),vraag over afdrukken van *.doc naar *.pdf
1189327,Hardware / Werkplekbeheer,MFC 49870 geeft storing
1189328,Functioneel beheer,CS Ziscon: Ik kan niet inloggen
1189329,2e lijns (Doorgezette incidenten),Outlook aanpassen aut. handtek.
1189332,Functioneel beheer,CS Activiteitenplan: kan anamnese niet wijzigen.
1189333,Functioneel beheer,CS Document: Aanmaakdatum wijzigen
1189334,Functioneel beheer,CS Document: tekstblControlekamerken toevoegen
1189335,1e lijns beheer (Helpdesk),accu vervangen
1189336,1e lijns beheer (Helpdesk),omgekeerde P's in outlook
1189337,2e lijns (Doorgezette incidenten),Agenda items herstellen
1189340,Functioneel beheer,CS Agenda: omschrijving afspraakbevestigingsbericht aanpassen
1189341,Functioneel beheer,CS-stamtabel: aanpassen adressen
1189343,2e lijns (Doorgezette incidenten),WS Connect: doorgegeven dat Mevr Kattenpoel Oude Heerink-Gilber haar telefoon weer goed doet
1189344,2e lijns (Doorgezette incidenten),QV-10: herstarten services op de KASSA-Z01
1189345,2e lijns (Doorgezette incidenten),Nieuwe_KA: Aantal meldingen gedaan dat de Ricoh als standaard printer Staat er nu ook niet tussen.
1189346,2e lijns (Doorgezette incidenten),tokencode
1189347,2e lijns (Doorgezette incidenten),Pasje koppelen
1189348,2e lijns (Doorgezette incidenten),Laptop reset
1189349,Functioneel beheer,CS-ziscon: aanpassen rechten
1189350,2e lijns (Doorgezette incidenten),geen printers
1189351,2e lijns (Doorgezette incidenten),"Baliel, Beeld valt weg."
1189352,Functioneel beheer,Cs-ziscon: lijst uit dienst
1189354,2e lijns (Doorgezette incidenten),inloggen tjidschriften med bieb vanuit huis
1189355,2e lijns (Doorgezette incidenten),dv BR
1189356,1e lijns beheer (Helpdesk),safeword code
1189359,Telefonie / Communicatie,3250 zwakke accu
1189360,1e lijns beheer (Helpdesk),Handtekening outlook goed zetten
1189362,2e lijns (Doorgezette incidenten),geen printers geinstalleerd A19-04
1189365,Hardware / Werkplekbeheer,TC kan geen verbinding maken met de server
1189366,2e lijns (Doorgezette incidenten),vraag over aut.rechten stagaire
1189367,2e lijns (Doorgezette incidenten),dv Laurens
1189369,2e lijns (Doorgezette incidenten),dv BdV
1189370,1e lijns beheer (Helpdesk),pst koppelen
1189371,2e lijns (Doorgezette incidenten),pas activeren
1189373,Functioneel beheer,Cs-dossier: verwijderen contact
1189374,Functioneel beheer,e-verwijzen: verwijzing verwijderen
1189375,Hardware / Werkplekbeheer,wil hier graag IE 8.0 subscribed
1189376,Hardware / Werkplekbeheer,verhuissing med.psych. vrijdag 8-1
1189378,Telefonie / Communicatie,verhuissing OCON donderdag 7/1
1189379,Hardware / Werkplekbeheer,verhuissing OCON donderdag 7/1
1189381,Hardware / Werkplekbeheer,wire solutions tv schem maken wekt niet meer touchscreen en toetsenbord
1189383,2e lijns (Doorgezette incidenten),Pasje koppelen
1189389,Functioneel beheer,CS Document: Kan niet printen in CRM-ERP
1189390,2e lijns (Doorgezette incidenten),Website niet benaderbaar https://www.farmedvisie.nl/Netwerkreggeland/
1189393,1e lijns beheer (Helpdesk),farmedvisie.nl niet te benaderen
1189394,2e lijns (Doorgezette incidenten),Autocad litez
1189396,1e lijns beheer (Helpdesk),safeword code
1189397,2e lijns (Doorgezette incidenten),Bepaalde websites zijn niet te benaderen
1189398,2e lijns (Doorgezette incidenten),website niet benaderbaar https://www.farmedvisie.nl  XENAPPA7-01
1189399,Telefonie / Communicatie,Toetsel werkt niet goed wanneer men wordt gebeld
1189400,1e lijns beheer (Helpdesk),internet traag
1189402,Functioneel beheer,E-verwijzen
1189405,2e lijns (Doorgezette incidenten),tblox.com komt niet op deze site. Connection timeout
1189406,Functioneel beheer,CS EPD: vragen livegang polikliniek geriatrie
1189407,Functioneel beheer,CS Overzicht: overzicht CVA CR
1189408,Functioneel beheer,CS Overzichtsgenerator: Vraag over overzicht
1189409,Functioneel beheer,aanpassing binnen Ultimo
1189410,Functioneel beheer,CS Agenda: brief
1189411,Functioneel beheer,CS Overzicht - Opgeroep klanten
1189412,Functioneel beheer,Everwijzen
1189413,3e lijns (Technische incidenten),G2 speech via Citrix
1189417,Functioneel beheer,Aanpassen bevestigingsberichten
1189418,3e lijns (Technische incidenten),Verschillen in PA verslag
1189419,2e lijns (Doorgezette incidenten),Nieuwe KA : plaatsen werkplek Dermamate
1189420,2e lijns (Doorgezette incidenten),nieuwe KA: CS wordt steeds afgesloten
1189428,2e lijns (Doorgezette incidenten),Nieuwe KA : citrix shadow tool
1189429,Hardware / Werkplekbeheer,Controlroom Audit eind Maart 2013
1189431,2e lijns (Doorgezette incidenten),Controlroom Audit eind Maart 2013
1189432,3e lijns (Technische incidenten),problemen Eskion met document beheer
1189433,3e lijns (Technische incidenten),wat is status melding beheer WS Plaza in nieuwe KA?
1189434,3e lijns (Technische incidenten),Mammografie beelden niet op te vragen.
1189436,3e lijns (Technische incidenten),heeft geen CS icoon meer in nieuwe KA-omgeving
1189437,3e lijns (Technische incidenten),DL_AB_WDS(ODV)
1189439,2e lijns (Doorgezette incidenten),word problemen
1189442,2e lijns (Doorgezette incidenten),Outlook rechten groepspostbus
1189446,2e lijns (Doorgezette incidenten),Kan niet inloggen op Ultimo Web
1189447,1e lijns beheer (Helpdesk),mailbox niet goed aangemaakt
1189450,2e lijns (Doorgezette incidenten),"Postbus telefonie, na inloggen is postbus niet bereikbaar vraagt naar mark"
1189451,2e lijns (Doorgezette incidenten),magister-z01
1189452,Functioneel beheer,CS Agenda / Stamtabel: Toevoegen subagenda en artscode
1189455,2e lijns (Doorgezette incidenten),tokencode pink ribon
1189456,Functioneel beheer,Wil je werkopdracht 2007050.1 open zetten.
1189457,Functioneel beheer,Koppelen onderhoudsrapporten en werkinstructie maken
1189459,Functioneel beheer,Event aanmaken inventaris vermist
1189460,Functioneel beheer,CS Agenda: overzicht afspraken
1189462,Functioneel beheer,CS afdrukken label
1189471,2e lijns (Doorgezette incidenten),Pas activereen
1189473,Hardware / Werkplekbeheer,TC start niet op: mist bestand
1189474,2e lijns (Doorgezette incidenten),Wil 2 werkstations bestellen. Vraagje over investeringsaanvraag.
1189476,2e lijns (Doorgezette incidenten),scannen naar homedir
1189478,2e lijns (Doorgezette incidenten),Svp token vervangen ivm defect token
1189479,2e lijns (Doorgezette incidenten),user is ingelogt A. Schweitzerzaal
1189480,Hardware / Werkplekbeheer,opstartprobleem nog niet verholpen
1189481,Functioneel beheer,CS Activiteitenplan: Overdracht (extern) verwijderen
1189488,2e lijns (Doorgezette incidenten),Nieuwe_KA: Kan niet in Outlook. Krijgt inlogscherm
1189489,Hardware / Werkplekbeheer,"""no trustrelation between this computer and domain""."
1189490,2e lijns (Doorgezette incidenten),CS/CRM-ERP: launch failed
1189494,2e lijns (Doorgezette incidenten),wire solutions techniek belt voor vervanging scherm
1189497,Functioneel beheer,EDI-berichten opnieuw verzenden
1189499,2e lijns (Doorgezette incidenten),Dv met Mark
1189501,Functioneel beheer,klant: Expressie klantcontextpaneel
1189503,2e lijns (Doorgezette incidenten),Wil foto uit pdf-bestand opgeslagen hebben als jpg-bestand
1189504,Hardware / Werkplekbeheer,FMA afdrukken stickervellen
1189507,2e lijns (Doorgezette incidenten),IKN Integraal kankercentrum nl. Willen als proef extra 24 inch scherm. Wil graag offerte wat dit gaat kosten.
1189510,Functioneel beheer,CS CRM-ERP: EPD dasboard links onderaan kwijt
1189513,2e lijns (Doorgezette incidenten),Launch failed op de POC pc's. Vraagt status.
1189515,Functioneel beheer,CS Agenda: zie meldtekst
1189516,2e lijns (Doorgezette incidenten),Hans svp terugbellen
1189517,2e lijns (Doorgezette incidenten),leiding fb epd
1189523,2e lijns (Doorgezette incidenten),Controlekamer Amsterdam heeft geen netwerk
1189524,2e lijns (Doorgezette incidenten),Inlog gaat niet goed: geen programma's beschikbaar
1189525,Functioneel beheer,klant: Uitzonderingtypes
1189534,Functioneel beheer,CS rechten werkt onder ander account
1189536,2e lijns (Doorgezette incidenten),dv RS
1189539,2e lijns (Doorgezette incidenten),wire solutions
1189547,Hardware / Werkplekbeheer,WS Connect zaal 2 bed 1. Geen beeld
1189550,Functioneel beheer,CRM-ERP is traag
1189551,2e lijns (Doorgezette incidenten),Outlook: geen distributielijst meer
1189552,Hardware / Werkplekbeheer,TC kan niet aanmelden
1189555,1e lijns beheer (Helpdesk),"pc traag, kan niet printen"
1189558,Hardware / Werkplekbeheer,Schermen boven de balie. AVSignale
1189560,Hardware / Werkplekbeheer,"Inloggen op TC lukt niet, staat op intake Controlekamer"
1189563,2e lijns (Doorgezette incidenten),status RFC
1189567,Hardware / Werkplekbeheer,Probleem met MMS Flow
1189568,Functioneel beheer,CS Agenda: Spreekuuroverzicht
1189572,2e lijns (Doorgezette incidenten),wire solutions verzoek om reset app.
1189577,Functioneel beheer,CS Agenda: Overzicht verrichtingscode
1189578,2e lijns (Doorgezette incidenten),inlogproblemen
1189579,1e lijns beheer (Helpdesk),kan niet inloggen
1189580,Functioneel beheer,CS Document: document verwijderen.
1189581,2e lijns (Doorgezette incidenten),"Kan niet inloggen: ""can not connect to the domain""."
1189583,2e lijns (Doorgezette incidenten),Printer niet beschikbaar XenappA5-01
1189584,1e lijns beheer (Helpdesk),algemene storing
1189587,Functioneel beheer,CS Agenda: Afspraken gecombineerd plannen
1189591,2e lijns (Doorgezette incidenten),inlogprobleem
1189592,1e lijns beheer (Helpdesk),algemene storing
1189593,Functioneel beheer,CS Agenda: Fiatteren subagenda vaatbesperking chirurg/rad/neuro
1189596,2e lijns (Doorgezette incidenten),Vastgelopen in CRM-ERP
1189598,2e lijns (Doorgezette incidenten),CS/CRM-ERP: vastlopers in CRM-ERP
1189599,2e lijns (Doorgezette incidenten),the domain server is not available
1189601,2e lijns (Doorgezette incidenten),"dv RM, JA"
1189603,2e lijns (Doorgezette incidenten),cs vastloper
1189604,2e lijns (Doorgezette incidenten),kan niet inloggen
1189605,2e lijns (Doorgezette incidenten),CSCRM-ERP zit vast.. Windows cannot connect to the domain
1189607,Hardware / Werkplekbeheer,"Ruud, svp terugbellen"
1189609,2e lijns (Doorgezette incidenten),inlogprobleem
1189610,2e lijns (Doorgezette incidenten),kan niet inloggen
1189612,1e lijns beheer (Helpdesk),TC zat vast
1189613,2e lijns (Doorgezette incidenten),MF storing?
1189614,2e lijns (Doorgezette incidenten),Pasje van collega nog niet gekoppeld. Ria Schotte-Oonk 20211
1189615,2e lijns (Doorgezette incidenten),cannot connect to the domainvraag over inlogproblemen LijnWS1 en WS2
1189616,2e lijns (Doorgezette incidenten),Foutmelding cannot not log on to the domain server
1189617,Hardware / Werkplekbeheer,dymolabel printer installeren
1189618,2e lijns (Doorgezette incidenten),inlogproblemen
1189619,2e lijns (Doorgezette incidenten),cannot connect to the domain
1189620,2e lijns (Doorgezette incidenten),ww reset
1189621,1e lijns beheer (Helpdesk),ad account weg
1189622,1e lijns beheer (Helpdesk),WS connect dagen terugboeken
1189624,3e lijns (Technische incidenten),Netwerk traag bij Farmacie
1189628,3e lijns (Technische incidenten),TraumaCad register aanpassing
1189629,2e lijns (Doorgezette incidenten),Dv
1189630,Functioneel beheer,CS Document: Verwijderen document
1189631,Hardware / Werkplekbeheer,wire solutions tv valt steeds uit
1189632,2e lijns (Doorgezette incidenten),vraag over verwijderen van bestanden
1189634,2e lijns (Doorgezette incidenten),Kan niet inloggen op telewerkomgeving
1189638,Hardware / Werkplekbeheer,Papierstoring printer
1189641,2e lijns (Doorgezette incidenten),kan niet inloggen
1189643,Functioneel beheer,CS ROM SUITE: invoeren emailadressen
1189647,2e lijns (Doorgezette incidenten),vraagt naar
1189649,2e lijns (Doorgezette incidenten),Heb geen printers ertussen staan
1189652,2e lijns (Doorgezette incidenten),kan niet inloggen
1189653,2e lijns (Doorgezette incidenten),safewordcode
1189654,1e lijns beheer (Helpdesk),mfc probleem
1189655,1e lijns beheer (Helpdesk),mfc niet te bereiken
1189656,Hardware / Werkplekbeheer,PC wil niet aan.
1189658,2e lijns (Doorgezette incidenten),kan niet inloggen
1189659,1e lijns beheer (Helpdesk),kan niet printen
